X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
985833.471987018,161380.120106356,22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn,31.759903,-97.102936
939978.11961379,160646.852272126,23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,43.52424,-71.70091
993782.574750346,231481.048878135,24,0.0469999619287,6.07235737749E-05,Bloomingdale,24,Manhattan,40.476771,-88.992995
988005.473265781,189064.601119068,25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn,43.52424,-71.70091
987147.798735777,168296.940239155,26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn,39.11251,-100.35875
1009318.86591617,142929.985503269,27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,37.369814,-83.428794
1037665.2111659,198318.076512447,28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens,41.555704,-91.530842
995199.766381479,151388.43112341,29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn,39.606508,-74.207917
1034204.644234,159698.939175642,30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens,40.615834,-73.821321
1018627.22031968,252594.200079161,31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx,39.11251,-100.35875
1021694.52007905,254249.634406609,32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx,40.849736,-73.864682
985545.308060386,192934.884487482,33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn,40.645099,-73.945032
993206.112709404,195239.324039658,34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn,40.629666,-73.941698
1008530.37462415,181132.340065956,35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn,25.963264,-97.550453
1007385.5227423,193982.900071222,36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn,33.61571,-81.10204
1004784.24623443,192954.140675513,37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn,37.329217,-86.364699
1057584.3000622,191973.412777632,38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens,40.69455,-73.73847
1012066.25622973,172053.111782097,39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn,40.643715,-73.900692
985409.939589894,186473.826449613,40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn,42.042547,-94.8338
997520.588883279,232274.162568265,41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,26.737565,-80.950898
1000990.47149974,238412.229125996,42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,33.61571,-81.10204
993784.366691179,224349.916883268,43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan,42.480186,-83.027221
